page_id__geo	page_id_pag	page_title	page_namespace	page_len	last_edit_timestamp	geo_tag_id	gt_primary	gt_lat	gt_lon	gt_country	gt_region	gt_globe	first_edit_timestamp	edits	minor_edits	language
430588	430588	Casa_Portcullis	0	2222	20160223153024	47093657	1	51.50129444	-0.12490833	GB		earth	20060626001433	12	13	es
469977	469977	Jardín_de_la_Torre_Victoria	0	789	20131119175812	47095403	1	51.49694444	-0.12500000	GB		earth	20060728195352	10	15	es
754348	754348	Cecil_Hotel	0	2676	20150927223533	47106272	1	51.51008000	-0.12176000	GB		earth	20070209221759	7	7	es
756379	756379	One_Canada_Square	0	2578	20160223153354	47106589	1	51.50500000	-0.01961111	GB		earth	20070210220959	25	28	es
776851	776851	Teatro_de_Dorset_Garden	0	3730	20160514225001	47107745	1	51.51416667	-0.10805556	GB		earth	20070221222823	6	11	es
821552	821552	Wigmore_Hall	0	2886	20150323062724	47109394	1	51.51653500	-0.14929200			earth	20070315205809	14	21	es
1045183	1045183	Lullingstone_Castle	0	1939	20130311133854	47119574	1	51.34260000	0.19110000	GB		earth	20070707120828	6	4	es
1089529	1089529	Museo_Soane	0	3162	20151107000005	47121684	1	51.51710278	-0.11691389			earth	20070802221800	23	20	es
1135319	1135319	Stratford_(Londres)	0	2107	20161112145306	47123883	1	51.54080000	0.00210000	GB	WSM	earth	20070828191559	19	23	es
1148921	1148921	Park_Lane	0	1929	20141103093941	47124351	1	51.50854167	-0.15480556	GB		earth	20070904130239	6	14	es
1143888	1143888	Oxford_Circus	0	1277	20150623235934	47124354	1	51.51530000	-0.14200000	GB		earth	20070901190353	7	10	es
1469657	1469657	Portobello_Road	0	2131	20160816162106	47137698	1	51.51425000	-0.20388889	GB		earth	20080210173030	29	19	es
1667753	1667753	Northumberland_House	0	5153	20160223141109	47143700	1	51.50750000	-0.12666667	GB		earth	20080514152431	17	9	es
1886149	1886149	Dulwich_Picture_Gallery	0	8963	20160113115848	47151486	1	51.44611111	-0.08638889	GB		earth	20080910165742	76	15	es
2060788	2060788	Chester_Square	0	1394	20141111180620	47155662	1	51.49527778	-0.14972222	GB		earth	20081116193334	12	6	es
2214463	2214463	Estación_de_Aldwych	0	4451	20160923095500	47159098	1	51.51221100	-0.11600000	GB		earth	20090112204603	7	21	es
2252529	2252529	Centro_Acuático_de_Londres	0	1358	20160726210818	47160199	1	51.53980900	-0.01050400	GB		earth	20090125165153	20	47	es
2305260	2305260	Arco_de_Wellington	0	3223	20160326163543	47161146	1	51.50250000	-0.15083333	GB		earth	20090211164242	12	13	es
2309133	2309133	Reform_Club	0	4785	20161202195610	47161438	1	51.50666667	-0.13333333	GB		earth	20090213163239	18	13	es
2311895	2311895	Mercedes-Benz_World	0	1481	20151024151404	47161724	1	51.35200000	-0.46700000	GB		earth	20090215085610	9	10	es
2336335	2336335	Velódromo_de_Londres	0	1225	20160816234416	47162342	1	51.55083333	-0.01388889			earth	20090228152435	21	28	es
2428535	2428535	St._James_Square	0	3703	20161029202812	47165352	1	51.50724400	-0.13529900			earth	20090412121850	8	7	es
2420984	2420984	Belgrave_Square	0	4542	20160407165000	47165424	1	51.49900000	-0.15370000	GB		earth	20090408153636	13	11	es
2539248	2539248	Brick_Lane	0	3490	20160218124248	47169173	1	51.52194444	-0.07166667			earth	20090531213349	15	22	es
2973930	2973930	Jubilee_Gardens	0	3105	20140326122201	47179231	1	51.50380000	-0.11840000	GB		earth	20091010033645	3	6	es
3010916	3010916	Plaza_Brunswick	0	1445	20151024125631	47180379	1	51.52416667	-0.12250000			earth	20091023191339	4	5	es
3010966	3010966	Piccadilly	0	6987	20161116025456	47180422	1	51.50472222	-0.14111111	GB		earth	20091023193509	15	18	es
3059430	3059430	Burlington_House	0	6119	20161029205332	47181786	1	51.50888889	-0.13944444			earth	20091109191647	9	10	es
